,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Age_Group,Credit_Amount_Group,Duration_Group
0,67,male,2,own,little,little,1169,6,radio/TV,>65,Low,<1yr
1,22,female,2,own,little,moderate,5951,48,radio/TV,<25,High,3-4yrs
2,49,male,1,own,little,little,2096,12,education,45-55,Medium,<1yr
3,45,male,2,free,little,little,7882,42,furniture/equipment,35-45,High,3-4yrs
4,53,male,2,free,little,little,4870,24,car,45-55,Medium,1-2yrs
5,35,male,1,free,little,little,9055,36,education,25-35,High,2-3yrs
6,53,male,2,own,quite rich,little,2835,24,furniture/equipment,45-55,Medium,1-2yrs
7,35,male,3,rent,little,moderate,6948,36,car,25-35,High,2-3yrs
8,61,male,1,own,rich,little,3059,12,radio/TV,55-65,Medium,<1yr
9,28,male,3,own,little,moderate,5234,30,car,25-35,High,2-3yrs
10,25,female,2,rent,little,moderate,1295,12,car,<25,Low,<1yr
11,24,female,2,rent,little,little,4308,48,business,<25,Medium,3-4yrs
12,22,female,2,own,little,moderate,1567,12,radio/TV,<25,Low,<1yr
13,60,male,1,own,little,little,1199,24,car,55-65,Low,1-2yrs
14,28,female,2,rent,little,little,1403,15,car,25-35,Low,1-2yrs
15,32,female,1,own,moderate,little,1282,24,radio/TV,25-35,Low,1-2yrs
16,53,male,2,own,little,little,2424,24,radio/TV,45-55,Medium,1-2yrs
17,25,male,2,own,little,little,8072,30,business,<25,High,2-3yrs
18,44,female,3,free,little,moderate,12579,24,car,35-45,Very High,1-2yrs
19,31,male,2,own,quite rich,little,3430,24,radio/TV,25-35,Medium,1-2yrs
20,48,male,2,own,little,little,2134,9,car,45-55,Medium,<1yr
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,35-45,Medium,<1yr
22,48,male,1,rent,little,little,2241,10,car,45-55,Medium,<1yr
23,44,male,2,own,moderate,moderate,1804,12,car,35-45,Low,<1yr
24,26,male,2,own,little,little,2069,10,furniture/equipment,25-35,Medium,<1yr
25,36,male,1,own,little,little,1374,6,furniture/equipment,35-45,Low,<1yr
26,39,male,1,own,little,little,426,6,radio/TV,35-45,Very Low,<1yr
27,42,female,2,rent,rich,rich,409,12,radio/TV,35-45,Very Low,<1yr
28,34,male,2,own,little,moderate,2415,7,radio/TV,25-35,Medium,<1yr
29,63,male,2,own,little,little,6836,60,business,55-65,High,>4yrs
30,36,male,2,own,rich,moderate,1913,18,business,35-45,Low,1-2yrs
31,27,male,2,own,little,little,4020,24,furniture/equipment,25-35,Medium,1-2yrs
32,30,male,2,own,moderate,moderate,5866,18,car,25-35,High,1-2yrs
33,57,male,1,rent,little,little,1264,12,business,55-65,Low,<1yr
34,33,female,3,own,little,rich,1474,12,furniture/equipment,25-35,Low,<1yr
35,25,male,1,own,little,moderate,4746,45,radio/TV,<25,Medium,3-4yrs
36,31,male,2,free,little,little,6110,48,education,25-35,High,3-4yrs
37,37,male,2,own,little,rich,2100,18,radio/TV,35-45,Medium,1-2yrs
38,37,male,2,own,little,rich,1225,10,domestic appliances,35-45,Low,<1yr
39,24,male,2,own,little,moderate,458,9,radio/TV,<25,Very Low,<1yr
40,30,male,3,own,quite rich,little,2333,30,radio/TV,25-35,Medium,2-3yrs
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,25-35,Low,<1yr
42,44,male,1,own,little,moderate,6204,18,repairs,35-45,High,1-2yrs
43,24,male,2,rent,moderate,little,6187,30,car,<25,High,2-3yrs
44,58,female,1,free,little,little,6143,48,car,55-65,High,3-4yrs
45,35,female,3,own,little,little,1393,11,car,25-35,Low,<1yr
46,39,male,2,own,quite rich,little,2299,36,radio/TV,35-45,Medium,2-3yrs
47,23,female,0,rent,quite rich,little,1352,6,car,<25,Low,<1yr
48,39,male,1,own,little,little,7228,11,car,35-45,High,<1yr
49,28,female,2,own,moderate,little,2073,12,radio/TV,25-35,Medium,<1yr
50,29,male,1,own,little,moderate,2333,24,furniture/equipment,25-35,Medium,1-2yrs
51,30,male,3,own,little,moderate,5965,27,car,25-35,High,2-3yrs
52,25,male,2,own,little,little,1262,12,radio/TV,<25,Low,<1yr
53,31,male,2,own,little,little,3378,18,car,25-35,Medium,1-2yrs
54,57,male,2,free,little,moderate,2225,36,car,55-65,Medium,2-3yrs
55,26,male,1,own,little,little,783,6,car,25-35,Very Low,<1yr
56,52,male,3,own,little,moderate,6468,12,radio/TV,45-55,High,<1yr
57,31,female,2,own,little,little,9566,36,radio/TV,25-35,High,2-3yrs
58,23,female,3,own,little,rich,1961,18,car,<25,Low,1-2yrs
59,23,female,1,rent,little,little,6229,36,furniture/equipment,<25,High,2-3yrs
60,27,male,2,own,little,moderate,1391,9,business,25-35,Low,<1yr
61,50,male,2,own,little,moderate,1537,15,radio/TV,45-55,Low,1-2yrs
62,61,male,3,free,little,moderate,1953,36,business,55-65,Low,2-3yrs
63,25,male,2,own,little,moderate,14421,48,business,<25,Very High,3-4yrs
64,26,female,2,own,little,little,3181,24,radio/TV,25-35,Medium,1-2yrs
65,48,male,2,own,little,little,5190,27,repairs,45-55,High,2-3yrs
66,29,female,2,own,little,little,2171,12,radio/TV,25-35,Medium,<1yr
67,22,male,2,own,rich,moderate,1007,12,car,<25,Low,<1yr
68,37,male,2,free,little,little,1819,36,education,35-45,Low,2-3yrs
69,25,female,2,own,little,little,2394,36,radio/TV,<25,Medium,2-3yrs
70,30,female,2,own,little,little,8133,36,car,25-35,High,2-3yrs
71,46,male,1,rent,little,little,730,7,radio/TV,45-55,Very Low,<1yr
72,51,male,3,free,little,little,1164,8,vacation/others,45-55,Low,<1yr
73,41,female,1,own,little,moderate,5954,42,business,35-45,High,3-4yrs
74,40,male,3,own,little,little,1977,36,education,35-45,Low,2-3yrs
75,66,male,3,free,little,little,1526,12,car,>65,Low,<1yr
76,34,male,2,own,little,little,3965,42,radio/TV,25-35,Medium,3-4yrs
77,51,male,2,own,little,moderate,4771,11,radio/TV,45-55,Medium,<1yr
78,39,male,1,own,little,little,9436,54,car,35-45,High,>4yrs
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,<25,Medium,2-3yrs
80,44,female,2,own,little,little,5943,24,radio/TV,35-45,High,1-2yrs
81,47,male,2,own,quite rich,little,1213,15,radio/TV,45-55,Low,1-2yrs
82,24,female,1,rent,moderate,little,1568,18,business,<25,Low,1-2yrs
83,58,female,1,own,little,little,1755,24,vacation/others,55-65,Low,1-2yrs
84,52,male,1,own,little,little,2315,10,radio/TV,45-55,Medium,<1yr
85,29,female,3,own,little,little,1412,12,business,25-35,Low,<1yr
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,25-35,Low,1-2yrs
87,47,male,2,free,moderate,moderate,12612,36,education,45-55,Very High,2-3yrs
88,30,male,3,own,moderate,little,2249,18,car,25-35,Medium,1-2yrs
89,28,male,2,own,little,little,1108,12,repairs,25-35,Low,<1yr
90,56,male,2,own,little,little,618,12,radio/TV,55-65,Very Low,<1yr
91,54,male,2,own,little,little,1409,12,car,45-55,Low,<1yr
92,33,female,1,own,little,little,797,12,radio/TV,25-35,Very Low,<1yr
93,20,male,2,rent,little,rich,3617,24,furniture/equipment,<25,Medium,1-2yrs
94,54,male,2,own,rich,moderate,1318,12,car,45-55,Low,<1yr
95,58,male,2,rent,little,moderate,15945,54,business,55-65,Very High,>4yrs
96,61,female,2,own,little,little,2012,12,education,55-65,Medium,<1yr
97,34,male,2,own,moderate,moderate,2622,18,business,25-35,Medium,1-2yrs
98,36,male,2,own,little,moderate,2337,36,radio/TV,35-45,Medium,2-3yrs
99,36,male,3,rent,little,moderate,7057,20,car,35-45,High,1-2yrs
100,41,male,1,rent,moderate,little,1469,24,car,35-45,Low,1-2yrs
101,24,male,2,rent,little,moderate,2323,36,radio/TV,<25,Medium,2-3yrs
102,24,female,2,own,little,little,932,6,radio/TV,<25,Very Low,<1yr
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,25-35,Low,<1yr
104,26,male,2,rent,little,little,2445,12,car,25-35,Medium,<1yr
105,39,male,3,own,little,moderate,11938,24,vacation/others,35-45,Very High,1-2yrs
106,39,male,3,own,little,little,6458,18,car,35-45,High,1-2yrs
107,32,male,2,own,little,moderate,6078,12,car,25-35,High,<1yr
108,30,female,2,own,little,little,7721,24,furniture/equipment,25-35,High,1-2yrs
109,35,male,2,own,quite rich,moderate,1410,14,business,25-35,Low,1-2yrs
110,31,male,2,own,moderate,moderate,1449,6,business,25-35,Low,<1yr
111,23,female,2,rent,little,rich,392,15,education,<25,Very Low,1-2yrs
112,28,male,1,rent,little,moderate,6260,18,car,25-35,High,1-2yrs
113,25,female,2,own,little,little,7855,36,car,<25,High,2-3yrs
114,35,male,2,own,quite rich,little,1680,12,radio/TV,25-35,Low,<1yr
115,47,male,2,own,little,little,3578,48,radio/TV,45-55,Medium,3-4yrs
116,30,female,3,own,little,little,7174,42,radio/TV,25-35,High,3-4yrs
117,27,female,2,rent,little,little,2132,10,furniture/equipment,25-35,Medium,<1yr
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,<25,Medium,2-3yrs
119,36,male,3,own,quite rich,moderate,2366,12,car,35-45,Medium,<1yr
120,25,female,2,own,little,little,1835,21,radio/TV,<25,Low,1-2yrs
121,41,female,3,rent,little,little,3868,24,car,35-45,Medium,1-2yrs
122,24,male,1,rent,little,little,1768,12,furniture/equipment,<25,Low,<1yr
123,63,male,2,free,little,rich,781,10,car,55-65,Very Low,<1yr
124,27,female,2,rent,little,moderate,1924,18,furniture/equipment,25-35,Low,1-2yrs
125,30,male,2,own,little,little,2121,12,car,25-35,Medium,<1yr
126,40,male,1,own,little,little,701,12,radio/TV,35-45,Very Low,<1yr
127,30,male,2,own,little,moderate,639,12,repairs,25-35,Very Low,<1yr
128,34,male,3,own,little,moderate,1860,12,car,25-35,Low,<1yr
129,29,female,2,own,little,little,3499,12,car,25-35,Medium,<1yr
130,24,female,2,own,little,moderate,8487,48,car,<25,High,3-4yrs
131,29,male,2,own,little,little,6887,36,education,25-35,High,2-3yrs
132,27,male,1,own,little,little,2708,15,furniture/equipment,25-35,Medium,1-2yrs
133,47,male,2,free,little,little,1984,18,furniture/equipment,45-55,Low,1-2yrs
134,21,female,2,own,moderate,little,10144,60,radio/TV,<25,Very High,>4yrs
135,38,female,2,own,little,little,1240,12,radio/TV,35-45,Low,<1yr
136,27,male,2,own,rich,little,8613,27,car,25-35,High,2-3yrs
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,>65,Very Low,<1yr
138,35,male,2,own,little,moderate,2728,15,radio/TV,25-35,Medium,1-2yrs
139,44,female,1,rent,little,rich,1881,12,radio/TV,35-45,Low,<1yr
140,27,male,0,own,rich,rich,709,6,car,25-35,Very Low,<1yr
141,30,female,3,own,little,moderate,4795,36,radio/TV,25-35,Medium,2-3yrs
142,27,male,3,own,little,little,3416,27,radio/TV,25-35,Medium,2-3yrs
143,22,male,2,own,little,little,2462,18,furniture/equipment,<25,Medium,1-2yrs
144,23,female,2,own,little,little,2288,21,furniture/equipment,<25,Medium,1-2yrs
145,30,male,2,own,moderate,moderate,3566,48,business,25-35,Medium,3-4yrs
146,39,female,2,own,little,little,860,6,car,35-45,Very Low,<1yr
147,51,female,2,own,moderate,little,682,12,car,45-55,Very Low,<1yr
148,28,male,2,own,little,little,5371,36,furniture/equipment,25-35,High,2-3yrs
149,46,male,2,own,rich,little,1582,18,radio/TV,45-55,Low,1-2yrs
150,42,male,2,free,moderate,little,1346,6,radio/TV,35-45,Low,<1yr
151,38,male,2,own,little,little,1924,10,radio/TV,35-45,Low,<1yr
152,24,male,2,own,little,rich,5848,36,radio/TV,<25,High,2-3yrs
153,29,female,2,rent,rich,moderate,7758,24,car,25-35,High,1-2yrs
154,36,male,3,rent,moderate,moderate,6967,24,business,35-45,High,1-2yrs
155,20,female,2,rent,little,little,1282,12,furniture/equipment,<25,Low,<1yr
156,48,male,2,own,moderate,little,1288,9,repairs,45-55,Low,<1yr
157,45,male,1,own,little,little,339,12,education,35-45,Very Low,<1yr
158,38,male,2,own,moderate,moderate,3512,24,car,35-45,Medium,1-2yrs
159,34,male,1,own,little,little,1898,6,radio/TV,25-35,Low,<1yr
160,36,male,2,own,moderate,little,2872,24,radio/TV,35-45,Medium,1-2yrs
161,30,female,2,own,little,little,1055,18,car,25-35,Low,1-2yrs
162,36,male,2,own,quite rich,little,1262,15,domestic appliances,35-45,Low,1-2yrs
163,70,male,3,free,little,moderate,7308,10,car,>65,High,<1yr
164,36,male,2,own,quite rich,little,909,36,car,35-45,Very Low,2-3yrs
165,32,male,2,own,quite rich,little,2978,6,furniture/equipment,25-35,Medium,<1yr
166,33,female,2,own,little,little,1131,18,furniture/equipment,25-35,Low,1-2yrs
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,<25,Low,<1yr
168,25,female,2,rent,little,little,3972,24,furniture/equipment,<25,Medium,1-2yrs
169,31,male,2,own,little,moderate,1935,24,business,25-35,Low,1-2yrs
170,33,male,2,rent,little,little,950,15,car,25-35,Very Low,1-2yrs
171,26,female,2,own,little,little,763,12,furniture/equipment,25-35,Very Low,<1yr
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,25-35,Medium,1-2yrs
173,33,male,2,own,little,moderate,1414,8,radio/TV,25-35,Low,<1yr
174,26,male,2,own,little,little,3414,21,education,25-35,Medium,1-2yrs
175,53,female,3,own,little,little,7485,30,car,45-55,High,2-3yrs
176,42,male,2,own,little,little,2577,12,furniture/equipment,35-45,Medium,<1yr
177,52,male,2,own,quite rich,little,338,6,radio/TV,45-55,Very Low,<1yr
178,31,male,3,rent,little,little,1963,12,radio/TV,25-35,Low,<1yr
179,65,male,2,own,little,little,571,21,car,55-65,Very Low,1-2yrs
180,28,male,2,own,little,little,9572,36,business,25-35,High,2-3yrs
181,30,male,3,own,little,moderate,4455,36,business,25-35,Medium,2-3yrs
182,40,male,1,own,little,little,1647,21,car,35-45,Low,1-2yrs
183,50,male,2,own,rich,little,3777,24,furniture/equipment,45-55,Medium,1-2yrs
184,36,male,2,own,little,moderate,884,18,car,35-45,Very Low,1-2yrs
185,31,male,2,own,little,little,1360,15,radio/TV,25-35,Low,1-2yrs
186,74,female,3,free,little,moderate,5129,9,car,>65,High,<1yr
187,68,male,0,free,little,moderate,1175,16,car,>65,Low,1-2yrs
188,20,male,2,own,moderate,little,674,12,radio/TV,<25,Very Low,<1yr
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,25-35,Medium,1-2yrs
190,54,male,3,own,rich,little,4591,24,business,45-55,Medium,1-2yrs
191,34,male,1,free,moderate,moderate,3844,48,business,25-35,Medium,3-4yrs
192,36,male,2,own,little,moderate,3915,27,business,35-45,Medium,2-3yrs
193,29,male,2,rent,little,little,2108,6,radio/TV,25-35,Medium,<1yr
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,<25,Medium,3-4yrs
195,34,female,3,own,little,moderate,1501,9,education,25-35,Low,<1yr
196,28,female,2,own,little,little,1382,6,radio/TV,25-35,Low,<1yr
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,25-35,Very Low,<1yr
198,36,male,2,free,little,moderate,2760,24,car,35-45,Medium,1-2yrs
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,35-45,Medium,1-2yrs
200,52,male,2,own,quite rich,little,936,9,education,45-55,Very Low,<1yr
201,27,male,1,own,little,little,1168,12,car,25-35,Low,<1yr
202,26,male,2,own,little,little,5117,27,business,25-35,High,2-3yrs
203,21,male,2,rent,little,little,902,12,education,<25,Very Low,<1yr
204,38,male,1,own,little,little,1495,12,car,35-45,Low,<1yr
205,38,male,3,free,little,little,10623,30,car,35-45,Very High,2-3yrs
206,43,male,2,own,little,little,1935,12,furniture/equipment,35-45,Low,<1yr
207,26,male,2,own,little,moderate,1424,12,domestic appliances,25-35,Low,<1yr
208,21,male,1,own,little,little,6568,24,business,<25,High,1-2yrs
209,55,male,2,own,rich,little,1413,12,car,45-55,Low,<1yr
210,33,male,2,own,little,little,3074,9,radio/TV,25-35,Medium,<1yr
211,45,female,1,own,little,little,3835,36,radio/TV,35-45,Medium,2-3yrs
212,50,male,2,own,little,little,5293,27,business,45-55,High,2-3yrs
213,66,male,3,own,little,rich,1908,30,business,>65,Low,2-3yrs
214,51,male,2,own,little,little,3342,36,radio/TV,45-55,Medium,2-3yrs
215,39,female,1,own,little,moderate,932,6,education,35-45,Very Low,<1yr
216,31,male,2,own,little,little,3104,18,business,25-35,Medium,1-2yrs
217,23,male,2,own,little,rich,3913,36,radio/TV,<25,Medium,2-3yrs
218,24,male,1,rent,little,little,3021,24,furniture/equipment,<25,Medium,1-2yrs
219,64,female,2,own,little,little,1364,10,car,55-65,Low,<1yr
220,26,male,1,own,little,moderate,625,12,radio/TV,25-35,Very Low,<1yr
221,23,female,2,rent,little,little,1200,12,education,<25,Low,<1yr
222,30,male,2,own,little,little,707,12,radio/TV,25-35,Very Low,<1yr
223,32,male,2,own,little,little,2978,24,business,25-35,Medium,1-2yrs
224,30,male,2,own,little,little,4657,15,car,25-35,Medium,1-2yrs
225,27,male,2,own,little,little,2613,36,repairs,25-35,Medium,2-3yrs
226,27,male,2,own,rich,moderate,10961,48,radio/TV,25-35,Very High,3-4yrs
227,53,male,3,free,little,little,7865,12,furniture/equipment,45-55,High,<1yr
228,22,male,2,own,little,little,1478,9,radio/TV,<25,Low,<1yr
229,22,male,2,free,little,little,3149,24,furniture/equipment,<25,Medium,1-2yrs
230,26,male,2,own,little,rich,4210,36,radio/TV,25-35,Medium,2-3yrs
231,51,male,1,free,quite rich,little,2507,9,car,45-55,Medium,<1yr
232,35,male,2,own,moderate,little,2141,12,radio/TV,25-35,Medium,<1yr
233,25,male,1,own,little,moderate,866,18,radio/TV,<25,Very Low,1-2yrs
234,42,male,1,own,little,little,1544,4,radio/TV,35-45,Low,<1yr
235,30,male,3,own,little,little,1823,24,radio/TV,25-35,Low,1-2yrs
236,23,male,0,own,little,moderate,14555,6,car,<25,Very High,<1yr
237,61,male,1,rent,moderate,moderate,2767,21,business,55-65,Medium,1-2yrs
238,35,female,2,own,little,little,1291,12,radio/TV,25-35,Low,<1yr
239,39,male,2,own,little,little,2522,30,radio/TV,35-45,Medium,2-3yrs
240,29,female,2,own,little,little,915,24,car,25-35,Very Low,1-2yrs
241,51,male,2,own,little,little,1595,6,radio/TV,45-55,Low,<1yr
242,24,male,2,free,little,little,4605,48,car,<25,Medium,3-4yrs
243,27,female,2,own,little,little,1185,12,business,25-35,Low,<1yr
244,35,female,1,own,quite rich,little,3447,12,education,25-35,Medium,<1yr
245,25,male,2,own,little,little,1258,24,business,<25,Low,1-2yrs
246,52,male,2,own,little,little,717,12,radio/TV,45-55,Very Low,<1yr
247,35,male,2,rent,moderate,little,1204,6,car,25-35,Low,<1yr
248,26,male,2,own,little,rich,1925,24,furniture/equipment,25-35,Low,1-2yrs
249,22,female,2,rent,little,little,433,18,radio/TV,<25,Very Low,1-2yrs
250,39,female,1,own,rich,little,666,6,car,35-45,Very Low,<1yr
251,46,female,1,own,little,rich,2251,12,furniture/equipment,45-55,Medium,<1yr
252,24,female,2,own,little,moderate,2150,30,car,<25,Medium,2-3yrs
253,35,male,2,own,moderate,little,4151,24,furniture/equipment,25-35,Medium,1-2yrs
254,24,male,2,own,little,moderate,2030,9,furniture/equipment,<25,Medium,<1yr
255,27,male,1,own,little,moderate,7418,60,radio/TV,25-35,High,>4yrs
256,35,male,1,own,little,little,2684,24,radio/TV,25-35,Medium,1-2yrs
257,29,male,2,free,little,little,2149,12,radio/TV,25-35,Medium,<1yr
258,23,female,2,own,moderate,little,3812,15,car,<25,Medium,1-2yrs
259,57,female,1,own,moderate,little,1154,11,radio/TV,55-65,Low,<1yr
260,27,male,2,own,little,little,1657,12,furniture/equipment,25-35,Low,<1yr
261,55,female,2,own,little,little,1603,24,radio/TV,45-55,Low,1-2yrs
262,36,male,3,free,little,little,5302,18,car,35-45,High,1-2yrs
263,57,female,1,free,little,little,2748,12,education,55-65,Medium,<1yr
264,32,male,1,own,little,little,1231,10,car,25-35,Low,<1yr
265,37,male,2,own,little,moderate,802,15,radio/TV,35-45,Very Low,1-2yrs
266,36,male,2,own,little,little,6304,36,business,35-45,High,2-3yrs
267,38,female,2,own,little,little,1533,24,radio/TV,35-45,Low,1-2yrs
268,45,male,3,own,little,little,8978,14,car,35-45,High,1-2yrs
269,25,male,2,own,little,little,999,24,radio/TV,<25,Very Low,1-2yrs
270,32,male,2,own,little,little,2662,18,car,25-35,Medium,1-2yrs
271,37,female,2,rent,quite rich,little,1402,12,furniture/equipment,35-45,Low,<1yr
272,36,male,3,free,little,moderate,12169,48,car,35-45,Very High,3-4yrs
273,28,male,2,own,little,moderate,3060,48,radio/TV,25-35,Medium,3-4yrs
274,34,male,1,own,little,little,11998,30,repairs,25-35,Very High,2-3yrs
275,32,male,2,own,little,little,2697,9,radio/TV,25-35,Medium,<1yr
276,26,female,2,own,little,little,2404,18,radio/TV,25-35,Medium,1-2yrs
277,49,male,1,own,little,little,1262,12,furniture/equipment,45-55,Low,<1yr
278,32,female,2,own,little,little,4611,6,furniture/equipment,25-35,Medium,<1yr
279,29,male,3,rent,moderate,little,1901,24,radio/TV,25-35,Low,1-2yrs
280,23,male,2,rent,rich,little,3368,15,car,<25,Medium,1-2yrs
281,50,male,2,own,little,little,1574,12,furniture/equipment,45-55,Low,<1yr
282,49,male,1,own,little,rich,1445,18,radio/TV,45-55,Low,1-2yrs
283,63,male,2,own,little,little,1520,15,furniture/equipment,55-65,Low,1-2yrs
284,37,male,2,own,moderate,moderate,3878,24,car,35-45,Medium,1-2yrs
285,35,female,1,own,little,little,10722,47,car,25-35,Very High,3-4yrs
286,26,male,2,own,little,little,4788,48,car,25-35,Medium,3-4yrs
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,25-35,High,3-4yrs
288,49,female,2,own,little,moderate,1092,12,radio/TV,45-55,Low,<1yr
289,48,male,2,own,little,little,1024,24,radio/TV,45-55,Low,1-2yrs
290,26,male,2,own,little,little,1076,12,business,25-35,Low,<1yr
291,28,male,3,rent,little,moderate,9398,36,car,25-35,High,2-3yrs
292,44,female,3,free,little,little,6419,24,car,35-45,High,1-2yrs
293,56,male,2,free,little,rich,4796,42,car,55-65,Medium,3-4yrs
294,46,male,3,own,little,little,7629,48,business,45-55,High,3-4yrs
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,25-35,High,3-4yrs
296,20,female,2,rent,little,little,4675,12,car,<25,Medium,<1yr
297,45,male,1,own,little,little,1287,10,car,35-45,Low,<1yr
298,43,male,2,own,little,little,2515,18,furniture/equipment,35-45,Medium,1-2yrs
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,25-35,Medium,1-2yrs
300,54,female,0,own,little,little,672,6,car,45-55,Very Low,<1yr
301,42,female,2,own,little,moderate,3804,36,radio/TV,35-45,Medium,2-3yrs
302,37,male,1,own,little,rich,1344,24,car,35-45,Low,1-2yrs
303,49,male,2,own,little,little,1038,10,car,45-55,Low,<1yr
304,44,male,2,free,quite rich,little,10127,48,car,35-45,Very High,3-4yrs
305,33,male,2,own,rich,little,1543,6,furniture/equipment,25-35,Low,<1yr
306,24,female,1,rent,little,little,4811,30,car,<25,Medium,2-3yrs
307,33,male,1,own,moderate,little,727,12,radio/TV,25-35,Very Low,<1yr
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,<25,Low,<1yr
309,22,male,1,rent,little,moderate,276,9,car,<25,Very Low,<1yr
310,40,male,0,free,little,moderate,5381,48,vacation/others,35-45,High,3-4yrs
311,25,male,2,own,moderate,little,5511,24,furniture/equipment,<25,High,1-2yrs
312,26,female,2,own,little,rich,3749,24,furniture/equipment,25-35,Medium,1-2yrs
313,25,male,1,own,little,moderate,685,12,car,<25,Very Low,<1yr
314,29,male,1,own,little,rich,1494,4,car,25-35,Low,<1yr
315,31,male,2,own,little,little,2746,36,furniture/equipment,25-35,Medium,2-3yrs
316,38,male,1,own,little,little,708,12,furniture/equipment,35-45,Very Low,<1yr
317,48,female,1,own,little,moderate,4351,24,furniture/equipment,45-55,Medium,1-2yrs
318,32,male,2,own,little,little,701,12,education,25-35,Very Low,<1yr
319,27,female,1,own,little,little,3643,15,furniture/equipment,25-35,Medium,1-2yrs
320,28,male,3,own,little,moderate,4249,30,car,25-35,Medium,2-3yrs
321,32,male,2,own,little,little,1938,24,radio/TV,25-35,Low,1-2yrs
322,34,male,3,free,little,little,2910,24,car,25-35,Medium,1-2yrs
323,28,male,2,own,rich,little,2659,18,furniture/equipment,25-35,Medium,1-2yrs
324,36,female,2,own,little,little,1028,18,car,35-45,Low,1-2yrs
325,39,male,1,own,little,little,3398,8,car,35-45,Medium,<1yr
326,49,male,2,rent,little,little,5801,12,furniture/equipment,45-55,High,<1yr
327,34,female,2,own,rich,little,1525,24,car,25-35,Low,1-2yrs
328,31,male,2,own,little,rich,4473,36,radio/TV,25-35,Medium,2-3yrs
329,28,male,2,own,little,moderate,1068,6,radio/TV,25-35,Low,<1yr
330,75,male,3,free,little,little,6615,24,car,>65,High,1-2yrs
331,30,female,2,own,moderate,little,1864,18,education,25-35,Low,1-2yrs
332,24,female,3,own,moderate,moderate,7408,60,car,<25,High,>4yrs
